Movie_ID,Netflix
7791,1
7796,1
7797,1
7811,1
7844,1
7852,1
7854,1
7856,1
7858,1
7862,1
7863,1
7867,1
7872,1
7874,1
7877,1
7889,1
7890,1
7906,1
7909,1
7921,1
7933,1
7948,1
7956,1
7968,1
7970,1
7980,1
7982,1
7983,1
7985,1
7994,1
8003,1
8014,1
8023,1
8046,1
8047,1
8057,1
8088,1
8096,1
8101,1
8105,1
8110,1
8118,1
8120,1
8125,1
8126,1
8134,1
8136,1
8139,1
8145,1
8146,1
8147,1
8152,1
8161,1
8166,1
8167,1
8179,1
8181,1
8189,1
8192,1
8196,1
8219,1
8236,1
8237,1
8241,1
8251,1
8257,1
8270,1
8282,1
8298,1
8316,1
8327,1
8342,1
8344,1
8351,1
8364,1
8375,1
8379,1
8389,1
8399,1
8408,1
8419,1
8421,1
8429,1
8437,1
8450,1
8464,1
8482,1
8490,1
8491,1
8497,1
8498,1
8513,1
8516,1
8525,1
8534,1
8535,1
8540,1
8541,1
8543,1
8545,1
8554,1
8563,1
8568,1
8572,1
8574,1
8587,1
8593,1
8614,1
8632,1
8636,1
8645,1
8656,1
8682,1
8686,1
8697,1
8720,1
8727,1
8729,1
8730,1
8735,1
8752,1
8816,1
8824,1
8830,1
8831,1
8891,1
8893,1
8900,1
8901,1
8902,1
8903,1
8921,1
8927,1
8944,1
8950,1
8954,1
8965,1
8980,1
9002,1
9011,1
9019,1
9034,1
9048,1
9049,1
9051,1
9055,1
9056,1
9064,1
9067,1
9085,1
9090,1
9098,1
9103,1
9108,1
9109,1
9119,1
9125,1
9126,1
9128,1
9131,1
9132,1
9134,1
9136,1
9146,1
9150,1
9156,1
9159,1
9162,1
9186,1
9187,1
9208,1
9216,1
9224,1
9244,1
9259,1
9261,1
9262,1
9270,1
9271,1
9278,1
9304,1
9308,1
9309,1
9322,1
9323,1
9324,1
9332,1
9345,1
9390,1
9393,1
9394,1
9397,1
9431,1
9432,1
9443,1
9445,1
9446,1
9464,1
9466,1
9473,1
9500,1
9504,1
9505,1
9507,1
9509,1
9511,1
9512,1
9518,1
9533,1
9536,1
9537,1
9545,1
9552,1
9555,1
9561,1
9562,1
9564,1
9568,1
9573,1
9574,1
9589,1
9591,1
9596,1
9598,1
9606,1
9643,1
9660,1
9663,1
9664,1
9665,1
9666,1
9693,1
9697,1
9701,1
9704,1
9707,1
9719,1
9720,1
9725,1
9728,1
9729,1
9731,1
9737,1
9738,1
9740,1
9745,1
9756,1
9757,1
9783,1
9784,1
9789,1
9793,1
9803,1
9814,1
9820,1
9825,1
9829,1
9834,1
9839,1
9847,1
9848,1
9850,1
